sentence1,relation,relationscore,structure,structurescore
Why are some pages in my PDF coming out bold?,"""Why am I coming out bold in some pages of my PDF?""",2,Why do some pages in my PDF appear bold?,5
How do I move Steam games to a new computer without re-downloading them?,"""How do Steam games move me to a new computer without re-downloading them?""",2,"Without re-downloading, how can Steam games be moved to a new computer?",5
How is listed DPS calculated when dual-wielding weapons?,Listed DPS is calculated how when dual-wielding weapons?,4,"When dual-wielding weapons, how is listed DPS calculated?",5
"Which phrase is correct: ""dependent on"" or ""dependent upon""","""Dependent upon"" or ""dependent on"" is correct which phrase?",2,"Is the phrase ""dependent on"" or ""dependent upon"" correct?",4
What is this purple claw thing (Demon Altar) and what can I do with it?,This purple claw thing (Demon Altar) is what and what can it do with me?,2,What can I do with this purple claw thing (Demon Altar) and what is it?,5
Standalone producing cropped / truncated formulae,Cropped / truncated formulae producing standalone.,2,Cropped/truncated formulae producing standalone.,4
"What is ""ganking""?","What is not ""ganking""?",1,"What is meant by ""ganking""?",5
Singular or plural following a list,Plural or singular preceding a list.,2,Should the singular or plural be used following a list?,4
How do I control how often search engines visit my site?,How often search engines visit my site is controlled how?,3,How can I control the frequency of search engine visits to my site?,5
How do you dive into large code bases?,Large code bases are dived into how?,2,How can large code bases be dived into?,4
Removing control chars (including console codes / colours) from script output,Script output's control chars (including console codes / colours) are removed how?,2,Script output can have control characters (including console codes/colors) removed.,4
Are certifications worth it?,Worth it are certifications?,1,Are certifications considered valuable?,5
How to SEO a Single-Page website,A Single-Page website needs to SEO me.,2,"A Single-Page website, how to SEO?",4
I no longer want to be a developer,The developer no longer wants me.,1,"Being a developer, no longer want to.",3
remove unwanted contents from list of listings,List of listings wants to remove unwanted contents from me.,2,List of listings: How to remove unwanted contents?,5
"Using contracted forms (""don't"", ""let's"") in a formal text","Formal text wants to use contracted forms (""don't"", ""let's"").",2,"In a formal text, using contracted forms (don't"", ""let's"")?""",4
Using customised language file for Event Organiser plugin?,Event Organiser plugin wants to use my customised language file?,2,"Event Organiser plugin, using customised language file?",4
Force figure placement in text,Text wants to force figure placement in me.,2,"In text, how to force figure placement?",4
"What methods to use to create small, editable pieces of text for static pages?","Static pages want to create small, editable pieces of me using what methods?",2,"Creating small, editable pieces of text for static pages: What methods to use?",5
"Almost graduate, how to prepare myself for the ""real world""?","The ""real world"" needs to prepare itself for me, almost graduate.",2,"Preparing myself for the real world"", almost graduate, how?""",4
Assign the results from a Solve to variable(s),Variable(s) want to assign me the results from a Solve.,2,How to assign variable(s) to the results from a Solve?,5
How do the Treasure Goblins work?,How do I work the Treasure Goblins?,5,How do the Treasure Goblins work?,5
"Displaying pinyin over Chinese characters, without impacting word spacing","Chinese characters are displaying pinyin over me, without impacting word spacing.",3,"Without impacting word spacing, how can I display pinyin over Chinese characters?",5
When do set and legendary items start dropping?,Set and legendary items start dropping me when?,2,When do legendary and set items begin to drop?,4
how do I write a functional specification quickly and efficiently,"Quickly and efficiently write a functional specification, how do I do it?",2,"Quickly and efficiently, how do I write a functional specification?",5
"How to fix QGIS error ""Entry Point could not be located""?","""Entry Point could not be located"" error, how to fix QGIS?",3,Entry Point could not be located error in QGIS - how to fix it?,4
Sort strings by natural ordering,Natural ordering sorts me by strings.,3,Natural ordering for sorting strings.,4
How do I find my follower if and when they leave me?,"If and when my follower leaves me, how do I find them?",4,"If and when they leave me, how do I find my follower?",5
How can I get bold math symbols?,"Bold math symbols, how can I get them?",4,How to obtain bold math symbols?,4
Deliver my website all over the world hosting,Hosting all over the world delivers my website.,3,Hosting to deliver my website worldwide.,4
Qgis polygonize problem - DLL load fail,"DLL load fail, Qgis polygonize problem is impacting me.",4,DLL load fail - problem with polygonize in QGIS.,4
How to perform a spatial join of point and polygon layers in PostGIS?,"PostGIS performs a spatial join of point and polygon layers on me, how to do it?",3,Performing a spatial join of point and polygon layers in PostGIS.,4
Incorrect target of \label link produced by hyperref,\label link produced by hyperref targets incorrect me,3,Hyperref produces an incorrect target for \label link.,5
How are all diminishing returns calculated in League of Legends?,How is League of Legends calculated by all diminishing returns?,2,"In League of Legends, how are all diminishing returns calculated?",5
What are sources for current geo-statistical analysis classes/events: open or proprietary,What are proprietary or open sources for current geo-statistical analysis classes/events?,5,Open or proprietary sources for current geo-statistical analysis classes/events?,5
Does light reflect if incident at exactly the critical angle?,"If incident at exactly the critical angle, does light reflect me?",3,"If incident at exactly the critical angle, does light reflect?",5
Looking for software that has a shopping cart where I can sell licensed photos,Looking for licensed photos where I can sell software that has a shopping cart,1,Where can I find software that has a shopping cart to sell licensed photos?,5
What is the best free hosting provider for my site?,What is the best site for my free hosting provider?,2,Which is the best free hosting provider for my site?,5
Examples of Bayesian and frequentist approach giving different answers,"Giving different answers, Bayesian and frequentist approach examples me",3,Different answers given by Bayesian and frequentist approaches: examples.,5
Separate long math text under sum symbol into different lines?,Different lines separate long math text under sum symbol me,3,"Under the sum symbol, how can I separate long math text into different lines?",5
How to accept three different languages on lstlisting,lstlisting accepts three different languages on how to?,2,How can I accept three different languages on lstlisting?,5
Would you be weightless at the center of the Earth?,"""The center of the Earth would be weightless at you?""",2,"At the center of the Earth, would one be weightless?",4
How can I manually install a LaTeX package (Debian/Ubuntu Linux)?,"""How can a LaTeX package manually install me (Debian/Ubuntu Linux)?""",4,How to install a LaTeX package manually on Debian/Ubuntu Linux?,5
Make mathfont respect the surrounding family,"""Respect the surrounding family, make mathfont""",2,How to make the mathfont respect the surrounding family?,5
